instance_id,solver_name,n_backdoor_leaves,backdoor_depth,whole_runtime,whole_decisions,whole_propagations,whole_restarts,whole_conflicts,leaves_runtime,leaves_decisions,leaves_propagations,leaves_restarts,leaves_conflicts,tautology_check_runtime
68,cadical153,547,11,2.610237072000018,39564,63559,44,8294,0.0008227149992308114,0,5626,0,659,0.0025741259996721055
68,lingeling,547,11,23.81697685800009,100114,148583,1,15086,0.0035065309994024574,4744,4817,0,545,0.008718602999579161
69,minisat22,546,11,2.081996136000271,33045,43068,24,4591,0.0021318769995559705,0,5764,546,620,0.003184959999998682
69,glucose41,546,11,6.189653085000828,66722,104104,23,13559,0.002294991999406193,0,5764,546,620,0.004059369000060542
69,cadical153,546,11,11.695005284999752,91987,259817,92,22044,0.002392730999417836,0,5811,0,621,0.0031330190004155156
69,lingeling,546,11,35.2373890559993,135634,199705,1,19569,0.006671271000413981,5006,5070,0,543,0.00984646500000963
70,minisat22,543,12,1.6152786559996457,30930,42020,26,4874,0.0007591399999000714,0,5769,543,639,0.002931762000116578
70,glucose41,543,12,3.98855104499944,52998,77055,17,9951,0.000812347000646696,0,5769,543,639,0.004009537999991153
70,cadical153,543,12,5.895386130000588,77148,133442,32,18314,0.001376441000502382,0,5778,0,634,0.004302570000618289
70,lingeling,543,12,38.54748170699986,158240,235921,2,22831,0.004767888999595016,4917,4983,0,531,0.010071867000078782
71,minisat22,546,12,1.8396847300000445,29391,40102,25,4737,0.0023032729995975387,0,5820,546,633,0.003253908999795385
71,glucose41,546,12,6.270604886000001,76596,122345,18,16800,0.0024617850003778585,0,5820,546,633,0.004405086000588199
71,cadical153,546,12,6.512318230999881,82194,142799,65,20314,0.0015718439999545808,0,5853,0,633,0.0034257759998581605
71,lingeling,546,12,21.911731432000124,83718,125071,5,13916,0.00601002400071593,5016,5084,0,543,0.010101872000632284
72,minisat22,545,11,1.489210501999878,28989,37906,22,4149,0.0009601050005585421,0,5653,545,616,0.0025932649996320833
72,glucose41,545,11,8.34933826499946,104551,170403,19,22846,0.0010825380004462204,0,5653,545,616,0.0036200240001562634
72,cadical153,545,11,4.619043443999544,65463,114205,30,15900,0.0010679030001483625,0,5679,0,617,0.012346804999651795
72,lingeling,545,11,34.42741383700013,147239,215010,1,20606,0.006249489999390789,4956,5002,0,544,0.008046055000704655
73,minisat22,546,12,0.6267916569995577,19597,25684,15,2756,0.00028185599967400776,0,5508,546,624,0.0020213090001561795
73,glucose41,546,12,2.6157116270005645,46802,74392,17,10261,0.00034771300033753505,0,5508,546,624,0.003018343000803725
73,cadical153,546,12,2.734482702000605,47669,87861,15,12778,0.00044883900045533665,0,5532,0,614,0.0030980499996076105
73,lingeling,546,12,22.417046751999806,103637,155433,1,15116,0.0022111660000518896,4672,4742,0,532,0.006245814999601862
74,minisat22,546,12,1.8454858489994876,29499,39833,23,4483,0.002510170000277867,0,5808,546,613,0.003071676999752526
74,glucose41,546,12,5.756293557999925,61545,95397,26,12636,0.0027578469998843502,0,5808,546,613,0.0055740380003044265
74,cadical153,546,12,3.6055926619992533,38448,57119,54,6993,0.0017038559999491554,0,5812,0,606,0.003198199000507884
74,lingeling,546,12,46.87684704900039,175223,267145,2,26527,0.004228331999911461,5031,5090,0,540,0.00790525400043407
75,minisat22,542,11,1.787652739000805,31626,41636,24,4563,0.002384611000707082,0,5701,542,612,0.003074448999541346
75,glucose41,542,11,5.02539622400036,55364,84901,19,11209,0.0025963199996112962,0,5701,542,612,0.005176869000024453
75,cadical153,542,11,6.0171747940003115,84280,145946,28,19933,0.002432498000416672,0,5750,0,615,0.005055261000052269
75,lingeling,542,11,36.19089566399998,149161,217545,1,20807,0.004150671999013866,4961,5016,0,530,0.008612567000454874
76,minisat22,545,12,1.8725267659992824,29143,39036,23,4468,0.000960450001002755,0,5694,545,583,0.0031883079991530394
76,glucose41,545,12,4.999781487000291,68763,106630,11,14645,0.0010985110002366127,0,5694,545,583,0.003984959999797866
